,question1,question2,is_duplicate
1920,냉방비 너무 많이 나와,냉방비 장난 아님,0
1921,냉장고 털어도 먹을게 없네,냉장고에 먹을 게 하나도 없네,0
1922,냉장고가 텅비었어,냉장고에 먹을 게 없네,0
1923,냉장고에 김치도 없네,김치도 없네,0
1924,너 누구니?,너 뭐하는 애야,0
1925,너 만든 사람은 누구야?,남동생한테 자꾸 화내게 되네,1
1926,너 만든 사람은 누구야?,너는 내 인생에서 죽었다.,1
1927,너 말이 좀 이상하다,너 말 제대로 못해?,0
1928,너 미워,너 때문이야,0
1929,너 미워,미워한다,0
1930,너 생각이 났어.,갑자기 너 생각이 났어.,0
1931,너 이러면 미워한다,미워,0
1932,너가 생각난다,너랑 나는 안되는 걸까?,1
1933,너가 제일 기뻐해줬을텐데,너무 가슴이 아파,1
1934,너는 못가잖아,오지마,1
1935,너는 안자?,자니?,0
1936,너덜너덜해진 느낌이야,헌신하다 헌신짝 될 거 같아,0
1937,너도 고민 있니,고민 있니,0
1938,너도 고민 있어?,넌 고민이 뭐야,0
1939,너도 상사 있어,니 상사는 누구니,0
1940,너도 썸 타?,너도 썸 탄적 있어,0
1941,너도 아프니?,너무 괴롭네.,1
1942,너라서 행복해,너라서 행복해,0
1943,너를 사랑한 만큼만,너무 너무 억울하다.,1
1944,너를 사랑한 시간,너를 사랑한 시간들,0
1945,너무 가슴이 아프네,너무 힘드네.,0
1946,너무 끔직한 5월의 연휴도,너무 답답해 조언 좀 해줘,1
1947,너무 늦은 깨달음,너무 답답해서 글을 써봅니다,1
1948,너무 답답한데.,너무 매달렸나봐,1
1949,너무 답답해서 글올려,너무 보고 싶습니다.,1
1950,너무 두려워.,너무 보고싶네.,1
1951,너무 많은 걸 바래,나한테 너무 많은 걸 바라는 듯,0
1952,너무 바빠,할일 되게 많아,0
1953,너무 배가 불러,배불러,0
1954,너무 보고 싶다.,너무 그리워하는 그 사람.,0
1955,너무 보고 싶어 살려줘.,너무 슬퍼 잠못들어 보내지 못하는 글을 올려봅니다,1
1956,너무 빨리 대답해,대답이 너무 빨라,0
1957,너무 뻔뻔하게 구는데,자기 잘못은 모르고 엄청 뻔뻔해,0
1958,너무 사랑하는데 동거해도될까?,동거해도될까?,0
1959,너무 사랑해서그래서 미안하다,너무 아플줄 알았는데 오히려 무덤덤하네,1
1960,너무 상처를받아서,너무 우울하네,1
1961,너무 설레서 울렁거려.,설레서 울렁거려.,0
1962,너무 아파 외로워,너무 허무하네,1
1963,너무 어려워,모든 일이 어려워,0
1964,너무 예민한 여자친구,너무 예민한 여자친구 어떻게 해,0
1965,너무 오래 기다리게 한다.,나를 너무 오래 기다리게했어,0
1966,너무 오래한 연애,너무 화나.,1
1967,너무 잘하는 후배가 들어왔어,후배가 너무 잘해,0
1968,너무 잘해주면 질려하나?,너무 잘해주면 질려하나?,0
1969,너무 잘해줘서 이래도 되나 싶어,나한테 너무 잘해줘서 이래도 되나 싶어,0
1970,너무 잘해줬더니 당연한줄 아네,너무 잘해줬더니 이제 당연한줄 아네,0
1971,너무 잡고 싶지만 도저히 잡지 못해,너무 힘드네여,1
1972,너무 좋아서 절제가 안돼.,좋아서 절제가 안돼.,0
1973,너무 좋아하면 남자친구가 부담스러워 할까?,좋아하는거 티내면 남자친구가 부담스러워 할까?,0
1974,너무 초라해지는 느낌이야,내가 너무 초라해,0
1975,너무 추워서 시베리아 같아,시베리아 같아 추워,0
1976,너무 쿨한 남자친구가 고민이야.,남친이 너무 쿨해,0
1977,너무 편해도 안 좋아,너무 편해진 거 같아,0
1978,너무 행복해. 오래갈 수 있을까?,너무 행복해. 오래갈 수 있을까?,0
1979,너무 화가나 슬프구,너무 힘든데,1
1980,너무 힘드네,너무 힘들다,0
1981,너무 힘든 나날을 보내고 있습니다.,너무 힘들어서 미치겠네,0
1982,너무 힘든데 조언 좀,너무 힘들어서 정말 너무 힘들어,1
1983,너무 힘들다,외로워,1
1984,너무 힘들다,너무 힘들어서 지금 옥상에 올라왔어.,1
1985,너무 힘들다. 지쳤어.,오늘 너무 힘들다,0
1986,너무 힘들어서 심장이 터질 것만 같아,너무 힘듭니다,0
1987,너무 힘들어서 죽고싶어,너무 힘이 들어.,0
1988,너무 힘듭니다,너무나 와닿는그런 표현이 아닐까 하네,1
1989,너무 힘이 들고 내 자신이 한심해,너무너무 답답하네,1
1990,너무 힘이 듭니다,너무 우울해,1
1991,너무나도 힘들어,너무 화가 나네.,1
1992,너무너무너무 힘드네,너에게 보냈던 마지막 카톡.,1
1993,너무하네 진짜,진짜 너무하네,0
1994,너무하네 진짜,너에게 쓰는 편지,1
1995,너에게 보낼 수 없어 여기다 남길게,너와 처음 만났던 공간부터.,1
1996,너에게 쓰는 나의 마음편지,너한테 또 안보낼 편지,0
1997,너에게 쓴다,너한테 이글 안 보여 줄거다 .,1
1998,너와 내가 인연이었으면 좋겠어, 인연이었으면 좋겠어,0
1999,너의 향기를 지우려.,넌 그냥 외로움을 달래기 위한 거였겠지.,1
2000,너한테 쓰는 편지,넌 잘살더라,1
2001,넋두리,넌 행복하네,1
2002,넌 너무나도 잘지내고있구나,넘 많이 먹었다.,1
2003,넌 충분히 좋은 사람이였어,네 꿈을 자주 꾸는데,1
2004,널 사랑하지 않아,네번 헤어졌습니다,1
2005,넘 힘든 이별 준비,노래 듣는데 참 공감이 되네,1
2006,넘넘 외로워 죽겠어,너무 외로워,0
2007,넘어져서 발목 삔 거 같애,발목 삔 거 같애,0
2008,넘어질뻔했어,빨리 걷다가 넘어질뻔,0
2009,넘치는 사랑 받고 있어,내가 생각해도 넘치는 사랑 받고 있어,0
2010,네가 죽는다는 꿈을 꾸었어,놔줬더니 이게 뭐야?,1
2011,넥타이핀 선물 괜찮겠지?,넥타이핀 정도는 선물로 줘도 괜찮겠지?,0
2012,노는 거 좋아하는 남자는 좋아하면 힘들겠지?,노는 거 좋아하는 남자는 힘들겠지?,0
2013,노는 거 좋아하는 사람은 좋아하면 힘들거야.,노는 거 너무 좋아하는 사람은 좋아하면 힘들거야.,0
2014,노는 것 좋아하는 여자 이쁜데 좀 그래.,너무 잘 노는 이쁜 여자 좀 그래.,0
2015,노는게 제일 좋아,맨날 놀기만 했으면 좋겠어,0
2016,노래 가사가 참ㅠ 슬퍼,노래를 듣다가 눈물 나,0
2017,노래 잘 부르는 사람 부러워,노래 잘 부르는 사람 부러워,0
2018,노래 잘하고 싶어,노래 잘하는 사람 부러워,0
2019,노래가 정말 가슴이 찢어지내,누구나 궁금할법한 이야기,1
2020,노래방 가고 싶어,친구들이랑 노래방 가고 싶어,0
2021,노래방 걸 거 같은데 뭐 부르지,노래방 데이트 할 거 같은데 뭐 부르지,0
2022,노래방 노잼,노래 못해서 노래방 안 가,0
2023,노력해도 성적이 안 나와,노력해도 잘 안되는 공부,0
2024,노처녀인데 자꾸 화 낸다,노처녀 히스테리,0
2025,노트북 백업 안까먹고 해야지 ,컴퓨터 백업해야지,0
2026,노트북 사줘,나 노트북 사줘,0
2027,노트북 안돼,노트북 부팅 안돼,0
2028,노후 걱정 벌써 해야하나?,노후 걱정 벌써 해야하나?,0
2029,녹차  마실래?,녹차 한 잔 어때?,0
2030,논문 쓰기 힘들다,논문이 잘 안 써져.,0
2031,놀러 와라,우리집에 놀러와,0
2032,놀러가기 딱 좋은 날씨다,오늘 날씨 좋아서 놀러가고 싶어,0
2033,놀러다니기 좋아하는 남자 착하긴한데 나랑은 안맞다고 생각이 들어.,착한데 너무 놀러다니기 좋아하는 남자 안맞다고 생각이 들어.,0
2034,놀리기 쉬운 대상인가봐,나 놀려먹기 쉬운가?,0
2035,놀면서 돈 벌고 싶어,일 안하고 돈 벌고 싶어,0
2036,놀아 줄 사람이 없어,눈물,1
2037,놀아 줄거지,놀아줘,0
2038,놀아줘 놀아줘,나랑 놀아줘,0
2039,놀이공원 알바하면 재밌겠지,놀이공원 알바 재밌대,0
2040,놀이터에 친구가 없어,놀이터에서 뛰어 놀고 싶은데 친구가 없어,0
2041,농구하다 무르팍 깨짐,농구하다 다쳤어,0
2042,농구하러 가야지,농구해야지,0
2043,농사 짓고 살까?,귀농 어때?,0
2044,농활 간다,농촌 봉사활동 간다,0
2045,놓치고 싶지 않는 사람,놓치고 싶지 않는 사람,0
2046,뇌용량 초과,머리 용량 초과,0
2047,누가 날 좋아하는 걸 알면 어떤 생각이 들어?,누가 날 좋아하는 걸 알면 어떤 생각이 들어?,0
2048,누가 내 욕하는 거 같아,남들이 다 손가락질 하는 거 같아,0
2049,누가 더 사랑할까?,누가 더 사랑할까?,0
2050,누가 문열다 내차 긁었어,문콕당했어,0
2051,누가 봐도 썸 타는 사이인데 연락이 없어.,누가 봐도 썸 타는 사이인데 연락이 없어.,0
2052,누구 소개 좀 시켜줘 봐봐,소개팅 시켜줘,0
2053,누구나 가슴속에 있는 전화번호.,눈물이 계속 나와,1
2054,누구냐 넌?,누구야,0
2055,누구랑 결혼해야 할까,어떤 사람이랑 결혼해야할까,0
2056,누구세요?,너 누구냐,0
2057,누구에게나 친절한 남자 위험해?,누구에게나 친절한 남자 위험해?,0
2058,누군가 제 이야기를 들어줬으면 해서 올리내.,눈물이 많터냐,1
2059,누군가를 좋아하는게 과연 행복한 걸까.,누군가를 좋아하는게 과연 행복한 걸까.,0
2060,누군가를 좋아하는게 두려워.,누군가를 좋아하는게 두려워.,0
2061,누군가를 좋아하는게 이렇게 힘들줄 알았다면 시작도 안했을거야.,누군가를 좋아하는게 이렇게 힘들줄 알았다면 시작도 안했을거야.,0
2062,누군가를 좋아한다는건 정말 힘들일이야.,누군가를 좋아한다는건 정말 힘들일이야.,0
2063,누군가를 좋아해본 적이 없는데 문제가 있는걸까?,누군가를 좋아해본 적이 없는데 문제가 있는걸까?,0
2064,누군가를 짝사랑하게 되는게 두려워.,누군가를 짝사랑하게 되는게 두려워.,0
2065,누락된걸까,나 누락됐나봐,0
2066,누우면 자,침대에 누우면 바로 자,0
2067,눈 뜨면 생각나는 사람,대출 엄청 끼고 집 사,0
2068,눈 많이 왔어,눈 쌓였어,0
2069,눈물 나서 못 멈추겠어,갑자기 눈물 나,0
2070,눈물 나올거 같아,눈물 나올라 그래,0
2071,눈물만.,눈물이 멈춰지질 않네,0
2072,눈물이 납니다. 무슨 눈물인지 모르겠지만,뉴스는 역시 지루해,1
2073,눈물이 많아졌어,나이들면서 눈물이 많아졌어,0
2074,눈물이 말랐는지 슬퍼도 감정이안나오네,니가 독한거니 내가 찌질한거니,1
2075,눈썹 문신 어때?,니가 심어준 버릇,1
2076,눈썹 문신 하면 편할까?,눈썹 문신 해볼까,0
2077,눈썹이 귀여워,눈썹이 씰룩씰룩,0
2078,눈에서 멀어져도 좋아하는 건 어떡하죠?,대출껴서 집사는게 맞나?,1
2079,눈을 감아도 보고 싶어,대학교 고학번 선배랑 썸 타도 되나?,1
2080,눈이 건조해,눈이 뻑뻑해,0
2081,눈이 계속 뻑뻑해,눈이 뻑뻑해,0
2082,눈이 너무 많이 와,눈 좀 안 왔으면,0
2083,눈이 아파,폰을 오래했나 눈이 너무 뻑뻑해,0
2084,눈이 안 떠져,눈꺼풀이 무거워,0
2085,눈이 자꾸 나빠지는 것 같아,눈이 너무 나빠졌어,0
2086,눈이 자꾸 마주쳐,대학교에서 첫사랑 다시 만났어.,1
2087,눈이 피곤해,눈이 침침해,0
2088,눕자마자 잘 거 같아,누우면 바로 자,0
2089,뉴게임 없나?,새로운 게임 없나?,0
2090,뉴스는 역시 지루해,혼자 있으니까 편하네,1
2091,느낌이 좋아,느낌이 왔어,0
2092,늘 뒷모습만 보여줬어,나한테 뒷모습만 보여줬어,0
2093,늘 빡빡하게 살기 힘드네,빡빡한 일상,0
2094,능력이 너무 안돼,내 능력이 너무 모자라,0
2095,능력치 제로,능력이 없는 거 같아,0
2096,늦게 까지 술 먹나 보다,술만 먹으면 집에 늦게 와,0
2097,늦어지고 있는데 변명이 생각 안나,오늘 지각인듯 뭐라 그러지,0
2098,늦잠과 브런치 수다가 있는 주말,주말에 늦잠자고 브런치 먹으면서 수다 떨고 싶어,0
2099,니 물건들 잡동사니들다 버려달라고 부탁했는데,니가 원망스러워,1
2100,니가 생각나긴나,결국 이렇게 되는건가,1
2101,니가 없는 주말,다 끝났네.,1
2102,니가 이 글을 봤으면,다 내려놓았더니.잊혀지려고는 하는데,1
2103,다 그만 두고 싶다,다 그만하고싶어,0
2104,다 끝났네,다 잊고 살아야,0
2105,다 내 잘못인 것 같아,다 내 잘못이지,0
2106,다 내려놓고. 오늘부터 연락 끊었네.,다 정리된 상태에서 헤어지면 후폭풍 없나?,1
2107,다 맞춰주고 싶은 사람,대화가 안 통해,1
2108,다 부질없는짓 같아.,다가온 이별,1
2109,다 잊었는데 다시 그녀가 나타났어,대화가 잘 통하는 사람이야,1
2110,다 잊었는줄 알았는데.,다 괜찮은 줄 알았는데,0
2111,다 잘 될거야,잘되겠지,0
2112,다 잘맞는데 가치관이 다른 연애가 고민.,댄디한 남자 사귀고파,1
2113,다 잘해,못하는 게 없는 사람,0
2114,다 허무하다,다 필요없어,0
2115,다 허무하다,사는 게 허무해요,0
2116,다 힘들겠지?,나만 힘든 거 아니지?,0
2117,다가오는 크리마스,다들 힘들겠지,1
2118,다니던 회사를 그만두고 1년간 여행을 가자고 해.,더 사랑하고 싶다,1
2119,다들 아니라는 남자.,다들 잘 헤어졌데,1
2120,다들 어떻게 견딜까,다른 사람들도 나처럼 이렇게 힘들까,1
2121,다들 우리 잘 어울린대,더 사랑해달라고 말해볼까,1
2122,다른 거 해볼까,나 다른 거 해볼까,0
2123,다른 남자들도 그럴까?,다른 사람을 만나도 채워지지 않아,1
2124,다른 사람 신경쓰는 시간 아까워.,시간 아까워.,0
2125,다른 사람도 다 힘들겠지?,누구나 힘든거지?,0
2126,다른 사람들도 이런 재회 바라나?,다시 돌아오거나 연락이 올까.,1
2127,다른 사람들은 잘하는것 같아서 초초해,나만 제자리인듯,0
2128,다른 사람들은 행복해 보이는데,다른 사람들은 행복할까,0
2129,다른 사람들이 나 좋아했으면 좋겠어,다 나 좋아했으면 좋겠어,0
2130,다른 사람에게 뺏긴거 같네.,다시 또 가라 앉고 있습니다.,1
2131,다른 사람은 다 행복해보여,나만 빼고 행복해보여,0
2132,다른 사람은 잘만 하는 연애,더 사랑해달래,1
2133,다른 생각을 하는 사람이 많다.,내 생각이랑 다른 사람 생각이 진짜 다르다는 걸 느껴,0
2134,다른 학과 간다,전과했어,0
2135,다리 꼬면 안되는데 습관 안고쳐져,다리꼬지마,0
2136,다리 떠는거 말들음,다리 떠는거 지적받았어,0
2137,다리 떨면 진짜 복나가나?,다리 떨면 안 좋아?,0
2138,다리가 덜덜 떨려,다리가 후덜덜,0
2139,다리가 퉁퉁 부었어,다리가 부은 거 같아,0
2140,다시 꼭 잡겠다는 결심,다시 만나자는 말 하기 전까지 연락 안 하게,1
2141,다시 뒤숭숭해.,다시 만날 수 있을가.,1
2142,다시 만나고 싶어,담담하게 헤어졌어,1
2143,다시 만나서 사랑할 수 있을까?,더 사랑해줘,1
2144,다시 만나서 이야기,다시 만날수 있을까,1
2145,다시 만나자는 건 아닌데 보고 싶어,헤어지기 전으로 돌아가고 싶은건 아닌데,0
2146,다시 만나자면 만나줄까,다시 붙잡고 싶은데 돌아올까.,1
2147,다시 만날 수 있을까?,다시 사랑한다고 했는데.,1
2148,다시 만났는데 이제 정말 끝,재회 후 헤어짐,0
2149,다시 보기는 봤는데 결국은.,다시 와도 싫다고 단호하게 말해야지,1
2150,다시 붙잡는 사람.,다시 원점으로 돌아온건지.,1
2151,다시 사랑에 빠지는 법 ,내가 서로 사랑하는 사람이 있다면?,1
2152,다시 사랑이 오겠지?,더 알고 싶어 지는 사람이야,1
2153,다시 숨쉬려구,다시 이별이 올거같아,1
2154,다시 썸 타는 방법,덜 좋아하는게 답인 것 같아.,1
2155,다시 우울.,다시 차단해야만 하는군,1
2156,다시 웃게 해준 사람,데이트 계획을 너무 나만 짜는거같아.,1
2157,다시 이별,다시 한번 더 붙잡고 싶어 ㅠㅠ,1
2158,다시 재회하는 경우는 기분 어떨까?,다시 한번 붙잡아도 안되네,1
2159,다시 찾아온 이별,다시 헤어진 직후로 돌아간거같아,1
2160,다시 태어나도 만나고 싶은 사람,데이트 비용은 보통 어떻게 내?,1
2161,다시 태어나도 챗봇할래?,다시 태어난다면,0
2162,다시 한번 또.,다시는 연락 안하고 잊어볼려구,1
2163,다시 헤어졌습니다.,다음주가 너무 무서워,1
2164,다시 힘들어지네 ㅠㅠ,다 잊은것 같다가도 생각나,1
2165,다썸이 뭐야?,데이트 장소,1
2166,다육이 좀 심어볼까,화분에 뭐 심어볼까,0
2167,다음에 또 만나자,다음에 봐,0
2168,다음주에 전 여자친구를 보기로 했어,답답증,1
2169,다이어트해야 되는데,다이어트 성공하고 싶은데,0
2170,다정한 사람 만나고싶어,데이트 장소가 항상 고민이야,1
2171,다정했던 너는 이미 죽었다.,답답하네. 재회 하고 싶어,1
2172,다크서클 턱밑에 있다.,다크서클 내려왔어,0
2173,단 하루도 널 사랑하지 않은 날이 없었어,데이트 통장 만들까?,1
2174,단거 땡긴다.,달달한 거 먹고 싶다.,0
2175,단둘이 놀자,데이트 할때 너무 많이 먹는 남자친구가 고민이야.,1
2176,단둘이는 처음 만나는 날ㅋㅋ,단둘이는 처음,0
2177,단발 어울릴까?,단발 해볼까?,0
2178,단수,물이 안 나와,0
2179,단순하다.,너무 단순한 것만 하는거 아니니.,0
2180,단체생활 많이 힘든가,단체생활 힘들어,0
2181,단체생활 해야 되는거 싫다,단체생활 적응이 안돼,0
2182,단톡방에서 내 톡에만 답장해. 썸 각?,데이트는 어디로 가?,1
2183,달달한 마카롱 먹고 싶다,마카롱 먹고 싶다,0
2184,달리 보이고 싶은데 뭐할까,나를 바꿀 수 있는 건 뭐가 있을까,0
2185,달콤한 와플 먹고 싶어,와플 먹고 싶어,0
2186,담배 끊는 거 어려워,금연이 쉽지 않아,0
2187,담배 비싸,담배 너무 비쌈,0
2188,담배피는게 싫어.,남친 담배 좀 끊었으면.,0
2189,담뱃값이 왜 이렇게 비싸,담배 왤케 비싸,0
2190,답 없는 내 인생,내 인생 답 없어,0
2191,답 좀 줘,답답한 마음,1
2192,답답하네 . 뒤숭숭하고,답답함,0
2193,답답하다,답답해 죽겠네.,0
2194,답답한 마음만 드는 내 사랑,오랜 연애 끈을 놓을까?,1
2195,답답해,답이 없는 남자,1
2196,답답해서,당신이 너무 원망스럽습니다.,1
2197,답례품 뭘로 할까?,답례품 뭐하지?,0
2198,답이 없는 과정,대체 본심이 뭐라는 건데.,1
2199,답정녀 안 만나는 방법 있나.,답정녀 퇴치법,0
2200,답정녀 좀 싫어,답정녀 어떡해?,0
2201,답프로포즈 해볼까?,데이트비용이 너무 많이 나와,1
2202,답하기 싫은가봐,답이 안와,0
2203,당구 쳤어,당구 치고 옴,0
2204,당당하기가 어려워,항상 당당하고 싶어,0
2205,당신도 저만큼 아팠으면 좋겠습니다.,더 많이 좋아하고 덜 많이 좋아하는 거 그만합시다,1
2206,대기업 취직 어려울까,대기업에 취직하고 싶어,0
2207,대기업은 접어야 할 듯,대기업 아니어도 될까?,0
2208,대놓고 말했으면 좋겠어,빙빙 돌려서 말하지 말고 다이렉트로 말했으면,0
2209,대놓고 질린대,내가 질린대,0
2210,대답 잘하니,너 말 잘하니,0
2211,대리 불렀는데 안 오네,대리운전 불렀어,0
2212,대리님은 갈구는게 취미인 듯,대리님이 너무 갈궈,0
2213,대리효도 짜증,대리효도 극혐,0
2214,대만 놀러가고 싶어,대만 여행가고 싶어,0
2215,대부분 무덤덤한 남자친구가 고민임.,데이트중에 정적 있어도 괜찮을까?,1
2216,대빵 큰 여드름 올라와,여드름 났어,0
2217,대우를 안해줘,대우가 별로야,0
2218,대체 뭘해야 머릿속에서 지울수 있을까?,덜 좋아하는 방법만 알면 힘들지 않을텐데,1
2219,대체불가한 사람이 될 수 있을까,대체불가한 사람이 되고 싶어,0
2220,대출 갚으면 한 평생 다 갈듯,대출 갚다 죽겠어,0
2221,대출 언제 다 갚냐,대출이 너무 많아,0
2222,대충한 거 아닌데,나 대충한 거 아닌데,0
2223,대학 가고 싶다.,대학가야지,0
2224,대학 가야 하나?,대학 가는 게 낫지?,0
2225,대학 간다고 달라질까,대학 가면 좋겠지,0
2226,대학 나온 거 부러워,좋은 대학 나온 거 부러워,1
2227,대학 떨어 졌어 휴,대학 다 떨어졌어,0
2228,대학원 가는게 좋을 것 같아,대학원 가고 싶어,0
2229,더 격렬하게 아무 것도 안하고 싶다.,하루 종일 아무것도 하기 싫어,0
2230,더 답답한 오늘,계속 답답해,0
2231,더 이상 못할거 같아,여기까지가 한계인 거같아,0
2232,더 이상 사랑 때문에 상처받기 싫어,도대체 왜 이러는걸까,1
2233,더 이상 안 왔으면 좋겠어,더 이상 나한테 안 왔으면 좋겠어,0
2234,더 이상은 아닌 것 같아,이젠 진짜 끝을 내야 하나,0
2235,더우니까 무서운 이야기 듣고싶지,무서운 이야기 해줄까?,0
2236,더워서 잠을 못자,요즘 잠을 못자,0
2237,더워서 죽을 것 같아,너무 더워서 미치겠어,0
2238,더워서 죽을 듯한 날씨야,더워 미치겠다,0
2239,덕수궁 돌담길 따라서 둘이 걸었어.,덕수궁 돌담길 걸었어,0
2240,덕질 중,덕질 하는 중,0
2241,덤덤,아무 것도 도움이 안된다,1
2242,덤덤해지는데,독한 불면증,1
2243,데이트로 놀이공원 가는거 어때?,놀이공원 데이트 어때?,0
2244,데이트하고 몇시 쯤에 귀가하나?,데이트하고 보통 몇시쯤에 집에 들어가?,0
2245,데이트하는데 무한리필 좀 그렇지,데이트하는데 무한리필만 가,0
2246,데이트할 시간이 없네,너무 바빠서 데이트할 시간이 없네,0
2247,도대체 사랑이 뭐니?,도대체 사랑이 뭔지 모르겠어?,0
2248,도대체 중간이 없어,중간이 없어,0
2249,도서관 가서 공부해야지,도서관 가야지,0
2250,도서관 앞자리 사람 괜찮다.,도서관에서 괜찮은 사람 봤어,0
2251,도서관 책 반납 안햇다,책 반납 안햇다,0
2252,도서관에 책 빌리러 가려고,책 빌려봐야지,0
2253,도서관에서 항상 같은 자리에 앉는 여자가 계속 떠올라.,도서관에서 똑 같은 같은 자리에 앉는 여자애 계속 생각나.,0
2254,도시락 싸가지고 가야지,도시락 싸봐야지,0
2255,도시락 싸가지고 다닐까,도시락 싸볼까,0
2256,도시락 싸는 거 귀찮은데 사먹을까,점심 도시락 싸는 거 귀찮다,0
2257,도시락 싸서 놀러 가고 싶어,도시락 싸서 피크닉 가고 싶어,0
2258,도시락 싸왔어,도시락 싸옴,0
2259,도와준 사람들 너무 고맙다.,힘든데도 날 도와준 사람,0
2260,도와줘.,돌이키기 힘든 실수,1
2261,독서 좀 해야겠어,책 좀 읽어야지,0
2262,독학하려니까 힘들어,학원 안 다니고 독학하는데 힘들어,0
2263,돈 다 어디 갔나,돈 다 어디 쓴지 모르겠네,0
2264,돈 많이 벌었으면 좋겠어,돈 많이 벌고 싶어,0
2265,돈 모으는 재미가 있네.,돈 모으는 재미,0
2266,돈 버는 게 어렵구만.,돈 버는 게 쉽지 않음,0
2267,돈 벌고 싶어,나도 월급 필요해,0
2268,돈 벌면 뭐하나,돈 벌어서 뭐하지,0
2269,돈 빌려줬는데 연락 두절,돈 빌려줬는데 잠수탔어,0
2270,돈 없어,돈이 없네,0
2271,돈 없어 투잡이라도 해야할까 ,투잡 뛰어야 하나?,0
2272,돈 없어도 갈 수 있는 데이트 코스,돈 안드는 데이트 코스,0
2273,돈 없으면 결혼도 못하겠다.,결혼하는데 돈 많이 드네,0
2274,돈 좀 모아야 할텐데,돈 모으고 싶어,0
2275,돈 좀 빌려줘 ,용돈 줘,0
2276,돈 쥐꼬리만큼 가지고 유세부리는 꼴이라니,돈 가지고 유세부려,0
2277,돈없이 결혼하기 가능?,맨몸으로 결혼하기 가능?,0
2278,돈이 똑 떨어짐,돈 다 없어졌어,0
2279,돈이 안 모여,돈은 어떻게 모으는 거임,0
2280,돈이 엄떠,돈 어디갔지,0
2281,돈이 없어졌어.,돈 잃어버렸어,0
2282,돈이 없으면 연애를 하지않는게 맞는걸까.,돈이 없으면 연애를 하지않는게 맞는걸까.,0
2283,돈이 하나도 없어,돈 없어,0
2284,돈이라도 많으면 좋을텐데,돈 많으면 좋겠지?,0
2285,돌아버리겠다. 진짜,돌겠다,0
2286,돌아올거란 생각부터 하지 말걸,독하게 정리,1
2287,동거 8년 환승이별.,두 번째 이별 이야기,1
2288,동거 하다 걸렸어,아놔 동거하다 걸렸어,0
2289,동거 헤어짐 그 후,동거 후 헤어졌어,0
2290,동거하는 거 부모님이 알게 되셨어,우리 동거하는 거 부모님이 알게 되셨어,0
2291,동거하는데 헤어져야할 거 같아,동거하는데 이제 헤어져야할 거 같아,0
2292,동거하다 사랑이 식으면 어떡해?,동거하는데 이별 얘기 어떡게 해?,0
2293,동거하다 이별,두달간에 연애 그리고 헤어짐,1
2294,동거하다가 헤어질까봐 걱정이야,동거하는데 헤어질까봐 걱정이야,0
2295,동거해도 될까?,동거하자고 말해도 될까?,0
2296,동기는 진급하는데,동기가 나보다 먼저 진급,0
2297,동네 친구랑 썸 괜찮을까,친구였는데 썸 타는거 괜찮을까,0
2298,동료가 너무 게을러,게으른 동료가 있어,0
2299,동문서답을 해.,자꾸 동문서답이야.,0
2300,동물 좋아하는 사람 어때?,동물 좋아하는 사람 어때?,0
2301,동물 좋아하는 사람은 착한가?,고양이 좋아하는 사람은 착한가?,0
2302,동물을 너무 좋아해,고양이 너무 좋아해,0
2303,동상 걸릴거 같아.,동상 걸릴 뻔했어,0
2304,동생이 나 제끼고 결혼하겠대,동생이 먼저 결혼하겠대,0
2305,동생이랑 대판 싸움,동생이랑 싸웠어,0
2306,동생한테 짜증냈어,동생한테 화냈어,0
2307,동성 친구들이 편해,동성이 좋아,0
2308,동성동본으로 헤어질려고 합니다 .,두달이 되가네.,1
2309,동성애 어떻게 생각해,동성애 어떻게 생각해,0
2310,동성을 사랑해,동성이 좋아,0
2311,동아리에서 마음에 드는 남자 만났어!,동아리에서 훈남 만났어!,0
2312,동호회 가야지,동호회 약속 있어.,0
2313,동호회 나가야 하나,동호회 나가기 귀찮아,0
2314,동호회 재미 없어졌어,동호회 나가지 말까,0
2315,되고 싶은 게 두 개야,꿈이 두 개야,0
2316,되는 일이 하나도 없네,요즘 되는 일이 없네,0
2317,두 남자 사이에서 갈등 중,두 남자 사이에서 마음을 못 정하겠어,0
2318,두 사람한테 거의 동시에 고백받았어,거의 동시에 두 사람한테 고백받았어,0
2319,두 여자 사이에서 갈등하고 있어,두 여자 사이에서 갈등하고 있어,0
2320,두고 봐,나두 잘할거야,0
2321,두근두근해,마음이 두근두근해,0
2322,두달 반,두달이 지났네,0
2323,두달 사겼어,이제 두달 사귀었어,0
2324,두달이 넘었는데도 힘드네,두렵습니다.,1
2325,두달이 되었네,두번 다시는 마주치고 싶지 않아여,1
2326,두달전에 잠수이별했던 전남친이 연락한다,두번째 이별,1
2327,두번 다시 하기 싫은 헤어짐,두번째 주말이 지났네,1
2328,두번 이별하는 느낌입니다 하,둘만의 기념일 너무 힘드네,1
2329,두번째 읽씹,뒤숭숭하네.,1
2330,둔한 편인데 이것만 예민해,다른 건 무감각한데 이건 예민해,0
2331,둘 다 바보였다,드디어 바닥을 찍었네,1
2332,둘이 사귀는 거 같애,나 몰래 사귀는 거 같애,0
2333,뒤숭숭하네,드디어 연애에 종지부를 찍은것 같네,1
2334,뒤에 누가 따라 오는 것 같아 무서워,뒤에서 발자국 소리 나서 놀램,0
